uniqid,lat,long,Address,Street number,Street,City,State,Country,Zip,Address components,timestamp
239,32.7429,-117.044,"7162 Broadway, Lemon Grove, CA 91945, USA",7162,Broadway,Lemon Grove,California,United States,91945,"7162, Broadway, Lemon Grove, San Diego County, California, United States, 91945",11/9/17 14:01
240,29.9048,-96.9104,"2304 TX-71 BUS, La Grange, TX 78945, USA",2304,Texas 71 Business,La Grange,Texas,United States,78945,"2304, Texas 71 Business, La Grange, Fayette County, Texas, United States, 78945",11/9/17 12:37
241,38.9925,-94.713,"11005 W 75th St, Shawnee, KS 66214, USA",11005,West 75th Street,Shawnee,Kansas,United States,66214,"11005, West 75th Street, Edelweiss, Shawnee, Johnson County, Kansas, United States, 66214, 1107",11/9/17 12:35
242,38.3609,-90.9774,"1450-1498 N Main St, St Clair, MO 63077, USA",1450-1498,North Main Street,Saint Clair,Missouri,United States,63077,"1450-1498, North Main Street, Saint Clair, Central Township, Franklin County, Missouri, United States, 63077, 1054",11/9/17 11:58
243,43.0759,-89.4548,"4500 University Ave, Madison, WI 53705, USA",4500,University Avenue,Madison,Wisconsin,United States,53705,"4500, University Avenue, Madison, Dane County, Wisconsin, United States, 53705, 2155",11/9/17 11:39
244,28.5008,-81.7184,"4307 S Hwy 27, Clermont, FL 34711, USA",4307,South Highway 27,Clermont,Florida,United States,34711,"4307, South Highway 27, Clermont, Lake County, Florida, United States, 34711, 5349",11/9/17 11:19
245,29.0797,-82.2556,"8240 SW State Rd 200, Ocala, FL 34481, USA",8240,Southwest State Road 200,Ocala,Florida,United States,34481,"8240, Southwest State Road 200, Ocala, Marion County, Florida, United States, 34481, 9678",11/9/17 11:03
246,43.1685,-88.103,"N83 W15515 Appleton Ave, Menomonee Falls, WI 53051, USA",N83 W15515,Appleton Avenue,Menomonee Falls,Wisconsin,United States,53051,"N83 W15515, Appleton Avenue, Menomonee Falls, Waukesha County, Wisconsin, United States, 53051",11/9/17 10:49
247,30.072,-81.8644,"2485 Blanding Blvd, Middleburg, FL 32068, USA",2485,Blanding Boulevard,Middleburg,Florida,United States,32068,"2485, Blanding Boulevard, Middleburg, Clay County, Florida, United States, 32068, 5163",11/9/17 10:38
248,32.8013,-96.628,"18751 Lyndon B Johnson Fwy, Mesquite, TX 75150, USA",18751,Lyndon B Johnson Freeway,Mesquite,Texas,United States,75150,"18751, Lyndon B Johnson Freeway, Mesquite Commons, Mesquite, Dallas County, Texas, United States, 75150, 6408",11/9/17 10:23
249,48.2087,-101.313,"22nd Ave SW, Minot, ND 58701, USA",,22nd Avenue Southwest,Minot,North Dakota,United States,58701,"22nd Avenue Southwest, Minot, Ward County, North Dakota, United States, 58701",11/9/17 9:55
250,36.6965,-93.3658,"10890 MO-76, Branson West, MO 65737, USA",10890,Missouri 76,Branson West,Missouri,United States,65737,"10890, Missouri 76, Branson West, Ruth C Township, Stone County, Missouri, United States, 65737",11/9/17 9:02
251,28.0793,-80.6617,,,,,,,,,11/9/17 7:01
252,30.0437,-89.9583,,,,,,,,,11/9/17 6:57
253,34.4928,-118.197,"3748 Sierra Hwy, Acton, CA 93510, USA",3748,Sierra Highway,Acton,California,United States,93510,"3748, Sierra Highway, Acton, Los Angeles County, California, United States, 93510, 1253",11/8/17 22:10
254,32.8636,-90.3943,"910-934 E 15th St, Yazoo City, MS 39194, USA",910-934,East 15th Street,Yazoo City,Mississippi,United States,39194,"910-934, East 15th Street, Yazoo City, Yazoo County, Mississippi, United States, 39194",11/8/17 20:23
255,43.3207,-87.9225,"2570 W Washington St, Grafton, WI 53024, USA",2570,West Washington Street,Grafton,Wisconsin,United States,53024,"2570, West Washington Street, Grafton, Ozaukee County, Wisconsin, United States, 53024",11/8/17 18:57
256,33.9906,-117.34,,,,,,,,,11/8/17 18:54
257,45.4596,-98.4635,,,,,,,,,11/8/17 18:53
258,43.4757,-88.8233,"1639 N Spring St, Beaver Dam, WI 53916, USA",1639,North Spring Street,Beaver Dam,Wisconsin,United States,53916,"1639, North Spring Street, Beaver Dam, Dodge County, Wisconsin, United States, 53916, 1103",11/8/17 18:51
259,41.0748,-85.1456,"515 W Jefferson Blvd, Fort Wayne, IN 46802, USA",515,West Jefferson Boulevard,Fort Wayne,Indiana,United States,46802,"515, West Jefferson Boulevard, West Central, Fort Wayne, Wayne Township, Allen County, Indiana, United States, 46802",11/8/17 12:19
260,30.6674,-96.3714,"700 Texas Ave, Bryan, TX 77803, USA",700,Texas Avenue,Bryan,Texas,United States,77803,"700, Texas Avenue, Bryan, Brazos County, Texas, United States, 77803, 3945",11/8/17 17:38
261,30.5598,-97.6859,"245-277 University Blvd, Round Rock, TX 78665, USA",245-277,University Boulevard,Round Rock,Texas,United States,78665,"245-277, University Boulevard, Round Rock, Williamson County, Texas, United States, 78665",11/8/17 17:08
262,38.198,-84.8298,"310 Versailles Rd, Frankfort, KY 40601, USA",310,Versailles Road,Frankfort,Kentucky,United States,40601,"310, Versailles Road, Frankfort, Franklin County, Kentucky, United States, 40601",11/8/17 16:52
263,32.8404,-96.597,"509 I-30 Frontage Rd, Garland, TX 75043, USA",509,Interstate 30 Frontage Road,Garland,Texas,United States,75043,"509, Interstate 30 Frontage Road, Garland, Dallas County, Texas, United States, 75043",11/8/17 16:26
264,29.7755,-95.4273,"6509 Washington Ave, Houston, TX 77007, USA",6509,Washington Avenue,Houston,Texas,United States,77007,"6509, Washington Avenue, Washington Ave./ Memorial Park, Houston, Harris County, Texas, United States, 77007, 2112",11/8/17 14:20
265,29.6591,-82.4073,"6003 W Newberry Rd, Gainesville, FL 32605, USA",6003,West Newberry Road,Gainesville,Florida,United States,32605,"6003, West Newberry Road, Gainesville, Alachua County, Florida, United States, 32605, 4301",11/8/17 14:10
266,29.6992,-95.1233,"1305 Center St, Deer Park, TX 77536, USA",1305,Center Street,Deer Park,Texas,United States,77536,"1305, Center Street, Palm Terrace, Deer Park, Harris County, Texas, United States, 77536, 3501",11/8/17 13:13
267,34.1502,-118.091,"2797 Wenger Alley, Pasadena, CA 91107, USA",2797,Wenger Alley,Pasadena,California,United States,91107,"2797, Wenger Alley, Lamanda Park, Pasadena, Los Angeles County, California, United States, 91107",11/8/17 12:55
268,40.4311,-86.9131,"605 W Stadium Ave, West Lafayette, IN 47906, USA",605,West Stadium Avenue,West Lafayette,Indiana,United States,47906,"605, West Stadium Avenue, West Lafayette, Wabash Township, Tippecanoe County, Indiana, United States, 47906, 2667",11/8/17 12:30
269,30.0385,-89.9757,"10001 I-10 Service Rd, New Orleans, LA 70127, USA",10001,I-10 Service Road,New Orleans,Louisiana,United States,70127,"10001, I-10 Service Road, Little Woods, New Orleans, Orleans Parish, Louisiana, United States, 70127",11/8/17 11:41
270,33.0718,-97.0231,"1201 FM407, Lewisville, TX 75077, USA",1201,Farm to Market Road 407,Lewisville,Texas,United States,75077,"1201, Farm to Market Road 407, Lewisville, Denton County, Texas, United States, 75077",11/8/17 11:33
271,36.1906,-86.7993,"801 Vantage Way Ct, Nashville, TN 37228, USA",801,Vantage Way Court,Nashville,Tennessee,United States,37228,"801, Vantage Way Court, Metrocenter/North Rhodes Park, Nashville, Davidson County, Tennessee, United States, 37228, 1518",11/8/17 11:31
272,30.3062,-97.9371,"12514 TX-71, Bee Cave, TX 78738, USA",12514,Texas 71,Bee Cave,Texas,United States,78738,"12514, Texas 71, Bee Cave, Travis County, Texas, United States, 78738, 6510",11/8/17 11:24
273,40.6009,-79.1947,"29-35 Plaza Rd, Indiana, PA 15701, USA",29-35,Plaza Road,Indiana,Pennsylvania,United States,15701,"29-35, Plaza Road, Indiana, White Township, Indiana County, Pennsylvania, United States, 15701",11/8/17 11:03
274,34.8736,-82.3298,"630 Howell Rd, Greenville, SC 29615, USA",630,Howell Road,Greenville,South Carolina,United States,29615,"630, Howell Road, Greenville, Greenville County, South Carolina, United States, 29615, 2360",11/8/17 10:34
275,32.8112,-96.62,"1531 N Town E Blvd, Mesquite, TX 75150, USA",1531,North Town East Boulevard,Mesquite,Texas,United States,75150,"1531, North Town East Boulevard, The Emporium, Mesquite, Dallas County, Texas, United States, 75150, 4112",11/8/17 10:16
276,42.7037,-87.8264,"2200 Lathrop Ave, Racine, WI 53405, USA",2200,Lathrop Avenue,Racine,Wisconsin,United States,53405,"2200, Lathrop Avenue, Racine, Racine County, Wisconsin, United States, 53405, 4137",11/8/17 9:22
277,30.1028,-81.7117,"15154, 5000-85 US-17, Fleming Island, FL 32003, USA",5000-85,U.S. 17,Fleming Island,Florida,United States,32003,"5000-85, U.S. 17, Fleming Island, Clay County, Florida, United States, 32003",11/8/17 9:18
278,37.7369,-84.3109,"485 Eastern Bypass, Richmond, KY 40475, USA",485,Eastern Bypass,Richmond,Kentucky,United States,40475,"485, Eastern Bypass, Richmond, Madison County, Kentucky, United States, 40475, 2311",11/8/17 9:13
279,36.0083,-83.975,"322 Merchants Dr, Knoxville, TN 37912, USA",322,Merchants Drive,Knoxville,Tennessee,United States,37912,"322, Merchants Drive, Knoxville, Knox County, Tennessee, United States, 37912, 3503",11/7/17 23:40
280,34.0481,-117.242,"25747-25775 Barton Rd, Loma Linda, CA 92354, USA",25747-25775,Barton Road,Loma Linda,California,United States,92354,"25747-25775, Barton Road, Loma Linda, San Bernardino County, California, United States, 92354, 3812",11/7/17 20:05
281,42.4561,-98.6328,"212 US-20, O'Neill, NE 68763, USA",212,U.S. 20,O'Neill,Nebraska,United States,68763,"212, U.S. 20, O'Neill, Holt County, Nebraska, United States, 68763",11/7/17 19:58
282,42.0231,-97.4261,"813-847 US-81, Norfolk, NE 68701, USA",813-847,Johnny Carson Boulevard,Norfolk,Nebraska,United States,68701,"813-847, Johnny Carson Boulevard, Norfolk, Madison County, Nebraska, United States, 68701",11/7/17 19:57
283,46.8944,-102.788,"200 W Museum Dr, Dickinson, ND 58601, USA",200,West Museum Drive,Dickinson,North Dakota,United States,58601,"200, West Museum Drive, Dickinson, Stark County, North Dakota, United States, 58601, 3932",11/7/17 19:51
284,46.8294,-100.727,"4000 E Divide Ave, Bismarck, ND 58501, USA",4000,East Divide Avenue,Bismarck,North Dakota,United States,58501,"4000, East Divide Avenue, Bismarck, Burleigh County, North Dakota, United States, 58501, 7904",11/7/17 19:49
285,42.6806,-88.0505,"835 15th Ave, Union Grove, WI 53182, USA",835,15th Avenue,Union Grove,Wisconsin,United States,53182,"835, 15th Avenue, Union Grove, Racine County, Wisconsin, United States, 53182, 1425",11/7/17 19:41
286,33.1373,-94.9677,"102 Cedar St, Mt Pleasant, TX 75455, USA",102,Cedar Street,Mount Pleasant,Texas,United States,75455,"102, Cedar Street, Mount Pleasant, Titus County, Texas, United States, 75455, 5910",11/7/17 19:30
287,30.2217,-85.8873,"16990 Front Beach Rd, Panama City Beach, FL 32413, USA",16990,Front Beach Road,Panama City Beach,Florida,United States,32413,"16990, Front Beach Road, Panama City Beach, Bay County, Florida, United States, 32413, 2345",11/7/17 19:29
288,39.4332,-88.3775,"4212 Lake Land Blvd, Mattoon, IL 61938, USA",4212,Lake Land Boulevard,Mattoon,Illinois,United States,61938,"4212, Lake Land Boulevard, Mattoon, Mattoon Township, Coles County, Illinois, United States, 61938, 9028",11/7/17 19:24
289,30.1141,-93.8214,"2311 TX-62, Orange, TX 77630, USA",2311,Texas 62,Orange,Texas,United States,77630,"2311, Texas 62, Orange, Orange County, Texas, United States, 77630, 8498",11/7/17 18:58
290,32.8963,-97.0446,"Terminal D, Grapevine, TX 75261, USA",,,Grapevine,Texas,United States,75261,"Terminal D, Grapevine, Tarrant County, Texas, United States, 75261",11/7/17 18:55
291,46.8357,-100.772,"2613 State St, Bismarck, ND 58503, USA",2613,State Street,Bismarck,North Dakota,United States,58503,"2613, State Street, Bismarck, Burleigh County, North Dakota, United States, 58503",11/7/17 15:22
292,32.9248,-96.8821,"2899 Valley View Ln, Farmers Branch, TX 75234, USA",2899,Valley View Lane,Farmers Branch,Texas,United States,75234,"2899, Valley View Lane, Farmers Branch, Dallas County, Texas, United States, 75234, 4926",11/7/17 18:12
293,34.0806,-118.261,"2019 Montana St, Los Angeles, CA 90026, USA",2019,Montana Street,Los Angeles,California,United States,90026,"2019, Montana Street, Echo Park, Los Angeles, Los Angeles County, California, United States, 90026, 2521",11/7/17 18:08
294,42.1745,-88.3347,,,,,,,,,11/7/17 17:51
295,32.9155,-117.13,"9037-9039 Mira Mesa Blvd, San Diego, CA 92126, USA",9037-9039,Mira Mesa Boulevard,San Diego,California,United States,92126,"9037-9039, Mira Mesa Boulevard, Mira Mesa, San Diego, San Diego County, California, United States, 92126, 2717",11/7/17 17:45
296,34.8283,-82.3463,"2443 Laurens Rd, Greenville, SC 29607, USA",2443,Laurens Road,Greenville,South Carolina,United States,29607,"2443, Laurens Road, Greenville, Greenville County, South Carolina, United States, 29607, 3831",11/7/17 16:58
297,33.9158,-118.397,,,,,,,,,11/7/17 16:05
298,43.5319,-89.9869,"1500 E Main St, Reedsburg, WI 53959, USA",1500,East Main Street,Reedsburg,Wisconsin,United States,53959,"1500, East Main Street, Reedsburg, Sauk County, Wisconsin, United States, 53959, 1458",11/7/17 15:56
299,32.831,-117.136,,,,,,,,,11/7/17 15:06
300,37.2041,-93.2614,,,,,,,,,11/7/17 14:54
301,32.7216,-96.8577,"2407 S Hampton Rd, Dallas, TX 75224, USA",2407,South Hampton Road,Dallas,Texas,United States,75224,"2407, South Hampton Road, Oak Cliff, Dallas, Dallas County, Texas, United States, 75224, 1621",11/7/17 14:42
302,40.3988,-80.0264,"2518 W Liberty Ave, Pittsburgh, PA 15226, USA",2518,West Liberty Avenue,Pittsburgh,Pennsylvania,United States,15226,"2518, West Liberty Avenue, Beechview, Pittsburgh, Allegheny County, Pennsylvania, United States, 15226, 1725",11/7/17 14:29
303,38.6651,-87.5112,"2320 Hart St, Vincennes, IN 47591, USA",2320,Hart Street,Vincennes,Indiana,United States,47591,"2320, Hart Street, Vincennes, Vincennes Township, Knox County, Indiana, United States, 47591",11/7/17 14:21
304,40.2187,-85.3762,"901 E McGalliard Rd, Muncie, IN 47303, USA",901,East McGalliard Road,Muncie,Indiana,United States,47303,"901, East McGalliard Road, Creston, Muncie, Center Township, Delaware County, Indiana, United States, 47303, 2022",11/7/17 13:55
305,40.1725,-84.9658,"911 E Washington St, Winchester, IN 47394, USA",911,East Washington Street,Winchester,Indiana,United States,47394,"911, East Washington Street, Winchester, White River Township, Randolph County, Indiana, United States, 47394, 9221",11/7/17 13:55
306,33.5172,-88.4342,"1840 US-45, Columbus, MS 39705, USA",1840,U.S. 45,Columbus,Mississippi,United States,39705,"1840, U.S. 45, Columbus, Lowndes County, Mississippi, United States, 39705, 2110",11/7/17 13:39
307,42.0235,-87.897,"1101 E Oakton St, Des Plaines, IL 60018, USA",1101,East Oakton Street,Des Plaines,Illinois,United States,60018,"1101, East Oakton Street, Des Plaines, Maine Township, Cook County, Illinois, United States, 60018, 2046",11/7/17 13:16
308,42.0649,-87.8001,"360 Waukegan Rd, Glenview, IL 60025, USA",360,Waukegan Road,Glenview,Illinois,United States,60025,"360, Waukegan Road, Glenview, Niles Township, Cook County, Illinois, United States, 60025",11/7/17 13:10
309,41.8957,-87.6776,"2013 W Chicago Ave, Chicago, IL 60622, USA",2013,West Chicago Avenue,Chicago,Illinois,United States,60622,"2013, West Chicago Avenue, West Town, Chicago, Cook County, Illinois, United States, 60622",11/7/17 12:39
310,46.872,-96.7676,"220-298 8th St S, Moorhead, MN 56560, USA",220-298,8th Street South,Moorhead,Minnesota,United States,56560,"220-298, 8th Street South, Moorhead, Clay County, Minnesota, United States, 56560",11/7/17 12:36
311,37.9692,-87.4938,"4701 Lincoln Ave, Evansville, IN 47714, USA",4701,Lincoln Avenue,Evansville,Indiana,United States,47714,"4701, Lincoln Avenue, Evansville, Knight Township, Vanderburgh County, Indiana, United States, 47714, 0659",11/7/17 12:32
312,35.378,-83.213,"39 Skyland Dr, Sylva, NC 28779, USA",39,Skyland Drive,Sylva,North Carolina,United States,28779,"39, Skyland Drive, Sylva, Sylva, Jackson County, North Carolina, United States, 28779",11/7/17 12:08
313,41.4391,-97.367,"2380 32nd Ave, Columbus, NE 68601, USA",2380,32nd Avenue,Columbus,Nebraska,United States,68601,"2380, 32nd Avenue, Columbus, Platte County, Nebraska, United States, 68601, 2466",11/7/17 10:45
314,41.0497,-92.4118,"2441 Northgate St, Ottumwa, IA 52501, USA",2441,Northgate Street,Ottumwa,Iowa,United States,52501,"2441, Northgate Street, Ottumwa, Center, Wapello County, Iowa, United States, 52501",11/7/17 10:08
315,41.7044,-88.1265,"295 N Weber Rd, Bolingbrook, IL 60490, USA",295,North Weber Road,Bolingbrook,Illinois,United States,60490,"295, North Weber Road, Bolingbrook, Du Page Township, Will County, Illinois, United States, 60490, 1567",11/7/17 11:23
316,43.3181,-88.3538,"1450 E Sumner St, Hartford, WI 53027, USA",1450,East Sumner Street,Hartford,Wisconsin,United States,53027,"1450, East Sumner Street, Hartford, Washington County, Wisconsin, United States, 53027, 1641",11/7/17 11:19
317,35.0887,-80.9314,"3490 US-21, Fort Mill, SC 29715, USA",3490,U.S. 21,Fort Mill,South Carolina,United States,29715,"3490, U.S. 21, Fort Mill, York County, South Carolina, United States, 29715",11/7/17 10:39
318,34.7545,-82.2668,"902-912 SC-417, Simpsonville, SC 29681, USA",902-912,Northeast Main Street,Simpsonville,South Carolina,United States,29681,"902-912, Northeast Main Street, Simpsonville, Greenville County, South Carolina, United States, 29681",11/7/17 11:02
319,41.6617,-86.1354,"2771 Lincolnway E, Mishawaka, IN 46544, USA",2771,Lincolnway East,Mishawaka,Indiana,United States,46544,"2771, Lincolnway East, Mishawaka, Penn Township, St. Joseph County, Indiana, United States, 46544",11/7/17 11:00
320,40.6806,-80.3015,"3946 Brodhead Rd, Monaca, PA 15061, USA",3946,North Brodhead Road,Monaca,Pennsylvania,United States,15061,"3946, North Brodhead Road, Monaca, Center Township, Beaver County, Pennsylvania, United States, 15061, 3028",11/7/17 10:45
321,47.9101,-97.0445,"1125 S Washington St, Grand Forks, ND 58201, USA",1125,South Washington Street,Grand Forks,North Dakota,United States,58201,"1125, South Washington Street, Grand Forks, Grand Forks County, North Dakota, United States, 58201, 5430",11/7/17 10:43
322,43.2071,-78.3988,"11209-11211 NY-31, Medina, NY 14103, USA",11209-11211,Maple Ridge Road,Medina,New York,United States,14103,"11209-11211, Maple Ridge Road, Medina, Shelby, Orleans County, New York, United States, 14103",11/7/17 10:39
323,38.637,-90.1953,"1109 N Tucker Blvd, St. Louis, MO 63101, USA",1109,North Tucker Boulevard,St. Louis,Missouri,United States,63101,"1109, North Tucker Boulevard, Carr Square, St. Louis, Missouri, United States, 63101",11/7/17 10:35
324,30.07,-95.4492,"2125 Farm to Market 2920, Spring, TX 77388, USA",2125,Farm to Market 2920,Spring,Texas,United States,77388,"2125, Farm to Market 2920, Spring, Harris County, Texas, United States, 77388",11/7/17 10:35
325,32.439,-81.7625,"611 Northside Dr E, Statesboro, GA 30458, USA",611,Northside Drive East,Statesboro,Georgia,United States,30458,"611, Northside Drive East, Statesboro, Bulloch County, Georgia, United States, 30458, 7104",11/6/17 23:03
326,33.6432,-117.596,"30632 Santa Margarita Pkwy, Rancho Santa Margarita, CA 92688, USA",30632,Santa Margarita Parkway,Rancho Santa Margarita,California,United States,92688,"30632, Santa Margarita Parkway, Rancho Santa Margarita, Orange County, California, United States, 92688, 2825",11/6/17 22:44
327,34.9748,-81.8791,"2131 E Main St, Spartanburg, SC 29307, USA",2131,East Main Street,Spartanburg,South Carolina,United States,29307,"2131, East Main Street, Spartanburg, Spartanburg County, South Carolina, United States, 29307, 1421",11/6/17 21:28
328,36.4322,-84.9337,"401 N Main St, Jamestown, TN 38556, USA",401,North Main Street,Jamestown,Tennessee,United States,38556,"401, North Main Street, Jamestown, Fentress County, Tennessee, United States, 38556",11/6/17 21:18
329,30.6486,-97.6781,"806 N Austin Ave, Georgetown, TX 78626, USA",806,North Austin Avenue,Georgetown,Texas,United States,78626,"806, North Austin Avenue, Georgetown, Williamson County, Texas, United States, 78626, 4212",11/6/17 20:48
330,39.8616,-85.9731,"10955 Pendleton Pike, Indianapolis, IN 46236, USA",10955,Pendleton Pike,Indianapolis,Indiana,United States,46236,"10955, Pendleton Pike, Indianapolis, Lawrence Township, Marion County, Indiana, United States, 46236, 2842",11/6/17 20:43
331,40.1594,-89.3876,"1109 Hickox Dr, Lincoln, IL 62656, USA",1109,Hickox Drive,Lincoln,Illinois,United States,62656,"1109, Hickox Drive, Lincoln, West Lincoln Township, Logan County, Illinois, United States, 62656",11/6/17 20:25
332,37.7018,-85.8678,"517 W Dixie Ave, Elizabethtown, KY 42701, USA",517,West Dixie Avenue,Elizabethtown,Kentucky,United States,42701,"517, West Dixie Avenue, Elizabethtown, Hardin County, Kentucky, United States, 42701",11/6/17 20:01
333,32.6893,-117.045,"6927-6967 Paradise Valley Rd, San Diego, CA 92139, USA",6927-6967,Paradise Valley Road,San Diego,California,United States,92139,"6927-6967, Paradise Valley Road, Bay Terraces, San Diego, San Diego County, California, United States, 92139",11/6/17 19:22
334,37.0869,-88.0863,"30 Outlet Ave, Eddyville, KY 42038, USA",30,Outlet Avenue,Eddyville,Kentucky,United States,42038,"30, Outlet Avenue, Eddyville, Lyon County, Kentucky, United States, 42038",11/6/17 19:09
335,31.0909,-97.3888,"3814 S General Bruce Dr, Temple, TX 76502, USA",3814,South General Bruce Drive,Temple,Texas,United States,76502,"3814, South General Bruce Drive, Temple, Bell County, Texas, United States, 76502, 4840",11/6/17 18:38
336,43.0902,-78.9694,"8320 Niagara Falls Blvd, Niagara Falls, NY 14304, USA",8320,Niagara Falls Boulevard,Niagara Falls,New York,United States,14304,"8320, Niagara Falls Boulevard, Niagara Falls, Niagara County, New York, United States, 14304, 4707",11/6/17 18:08
337,40.4588,-79.9185,"6361 Penn Ave, Pittsburgh, PA 15206, USA",6361,Penn Avenue,Pittsburgh,Pennsylvania,United States,15206,"6361, Penn Avenue, East Liberty, Pittsburgh, Allegheny County, Pennsylvania, United States, 15206",11/6/17 18:07
338,30.3369,-97.6935,"1024 E Anderson Ln, Austin, TX 78752, USA",1024,East Anderson Lane,Austin,Texas,United States,78752,"1024, East Anderson Lane, Heritage Hills, Austin, Travis County, Texas, United States, 78752, 1702",11/6/17 18:05
339,44.3118,-96.778,"623 Faculty Dr, Brookings, SD 57006, USA",623,Faculty Drive,Brookings,South Dakota,United States,57006,"623, Faculty Drive, Brookings, Brookings County, South Dakota, United States, 57006",11/6/17 17:59
340,35.1036,-80.9855,"14110 Rivergate Pkwy, Charlotte, NC 28273, USA",14110,Rivergate Parkway,Charlotte,North Carolina,United States,28273,"14110, Rivergate Parkway, Yorkshire, Charlotte, 1, Charlotte, Mecklenburg County, North Carolina, United States, 28273",11/6/17 17:46
341,41.1125,-88.4123,"13 E Northbrook Dr, Dwight, IL 60420, USA",13,East Northbrook Drive,Dwight,Illinois,United States,60420,"13, East Northbrook Drive, Dwight, Goodfarm Township, Grundy County, Illinois, United States, 60420, 9701",11/6/17 17:44
342,36.8807,-87.7383,,,,,,,,,11/6/17 17:33
343,33.8561,-117.919,,,,,,,,,11/6/17 17:15
344,44.8315,-89.1695,"413 N Genesee St, Wittenberg, WI 54499, USA",413,North Genesee Street,Wittenberg,Wisconsin,United States,54499,"413, North Genesee Street, Wittenberg, Shawano County, Wisconsin, United States, 54499, 9117",11/6/17 13:49
345,37.0892,-89.5416,"6399 MO-77, Benton, MO 63736, USA",6399,Missouri 77,Benton,Missouri,United States,63736,"6399, Missouri 77, Benton, Moreland Township, Scott County, Missouri, United States, 63736",11/6/17 17:09
346,34.9596,-89.9361,,,,,,,,,11/6/17 10:30
347,37.7314,-85.8863,"1700 N Dixie Hwy, Elizabethtown, KY 42701, USA",1700,North Dixie Highway,Elizabethtown,Kentucky,United States,42701,"1700, North Dixie Highway, Elizabethtown, Hardin County, Kentucky, United States, 42701",11/6/17 16:35
348,34.7545,-82.2668,"902-912 SC-417, Simpsonville, SC 29681, USA",902-912,Northeast Main Street,Simpsonville,South Carolina,United States,29681,"902-912, Northeast Main Street, Simpsonville, Greenville County, South Carolina, United States, 29681",11/6/17 16:31
349,30.5425,-87.7082,"18520 Media Dr, Robertsdale, AL 36567, USA",18520,Media Drive,Robertsdale,Alabama,United States,36567,"18520, Media Drive, Robertsdale, Baldwin County, Alabama, United States, 36567",11/6/17 15:46
350,37.1395,-83.7689,"40 Muddy Gap Rd, Manchester, KY 40962, USA",40,Muddy Gap Road,Manchester,Kentucky,United States,40962,"40, Muddy Gap Road, Manchester, Clay County, Kentucky, United States, 40962",11/6/17 15:07
351,41.122,-100.763,"1400 S Dewey St, North Platte, NE 69101, USA",1400,South Dewey Street,North Platte,Nebraska,United States,69101,"1400, South Dewey Street, North Platte, North Platte, Lincoln County, Nebraska, United States, 69101",11/6/17 4:56
352,33.6605,-117.3,"300-398 Diamond Dr, Lake Elsinore, CA 92530, USA",300-398,Diamond Drive,Lake Elsinore,California,United States,92530,"300-398, Diamond Drive, Lake Elsinore, Riverside County, California, United States, 92530, 4465",11/6/17 14:39
353,43.8866,-89.4845,"122 N Pioneer Park Rd, Westfield, WI 53964, USA",122,North Pioneer Park Road,Westfield,Wisconsin,United States,53964,"122, North Pioneer Park Road, Westfield, Marquette County, Wisconsin, United States, 53964",11/6/17 14:33
354,33.8059,-118.354,"3880 Pacific Coast Hwy, Torrance, CA 90505, USA",3880,Pacific Coast Highway,Torrance,California,United States,90505,"3880, Pacific Coast Highway, Walteria, Torrance, Los Angeles County, California, United States, 90505, 5916",11/6/17 14:25
355,42.9974,-87.8985,"830 E Potter Ave, Milwaukee, WI 53207, USA",830,East Potter Avenue,Milwaukee,Wisconsin,United States,53207,"830, East Potter Avenue, Bay View, Milwaukee, Milwaukee County, Wisconsin, United States, 53207, 1868",11/6/17 14:21
356,39.006,-87.7548,"1402 W Main St, Robinson, IL 62454, USA",1402,West Main Street,Robinson,Illinois,United States,62454,"1402, West Main Street, Robinson, Robinson Township, Crawford County, Illinois, United States, 62454",11/6/17 14:18
357,31.9384,-106.408,"11515-11531 McCombs St, El Paso, TX 79934, USA",11515-11531,McCombs Street,El Paso,Texas,United States,79934,"11515-11531, McCombs Street, Northeast El Paso, El Paso, El Paso County, Texas, United States, 79934",11/6/17 14:01
358,35.1153,-85.2545,"4123 Hixson Pike, Chattanooga, TN 37415, USA",4123,Hixson Pike,Chattanooga,Tennessee,United States,37415,"4123, Hixson Pike, Highwood, Chattanooga, Hamilton County, Tennessee, United States, 37415, 3111",11/6/17 13:54
359,40.5287,-80.0082,"4849 McKnight Rd, Pittsburgh, PA 15237, USA",4849,McKnight Road,Pittsburgh,Pennsylvania,United States,15237,"4849, McKnight Road, Pittsburgh, Ross Township, Allegheny County, Pennsylvania, United States, 15237, 3405",11/6/17 13:37
360,32.8994,-97.546,"211-219 Speer Ave, Azle, TX 76020, USA",211-219,Speer Avenue,Azle,Texas,United States,76020,"211-219, Speer Avenue, Azle, Parker County, Texas, United States, 76020",11/6/17 13:29
361,29.8842,-95.6441,"7302 Hwy 6 N, Houston, TX 77095, USA",7302,Highway 6 North,Houston,Texas,United States,77095,"7302, Highway 6 North, Copperfield Place, Houston, Harris County, Texas, United States, 77095, 2512",11/6/17 12:52
362,38.2902,-85.511,"12414 La Grange Rd, Louisville, KY 40245, USA",12414,La Grange Road,Louisville,Kentucky,United States,40245,"12414, La Grange Road, Louisville, Jefferson County, Kentucky, United States, 40245, 1901",11/6/17 12:42
